,id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,image
4147,56027,Women,Personal Care,Lips,Lipstick,Brown,Spring,2017,Casual,Colorbar Soft Touch Brazil Nut Lipstick 024,56027.jpg
4760,12935,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011,Casual,Classic Polo Men Classic Stripes  Turquoise Blue Tshirts,12935.jpg
4943,8983,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011,Casual,Puma Men Evo Ducati Lo Black Casual Shoes,8983.jpg
1298,7707,Women,Apparel,Bottomwear,Jeans,Black,Fall,2011,Casual,Jealous 21 Women's Abbie Black Jegging,7707.jpg
2269,15776,Men,Apparel,Innerwear,Briefs,Blue,Summer,2016,Casual,Facit Men Trophy BF Blue Briefs,15776.jpg
2273,1653,Men,Footwear,Shoes,Sports Shoes,Brown,Summer,2010,Sports,Reebok Men's Ventilator Ubiq Shoe,1653.jpg
1220,6245,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011,Casual,UCB Men's Contrast Logo Grey T-shirt,6245.jpg
3776,32591,Women,Apparel,Bottomwear,Skirts,Pink,Summer,2012,Casual,ONLY Women Pink Skirt,32591.jpg
2194,21127,Women,Apparel,Topwear,Tops,Navy Blue,Fall,2011,Casual,s.Oliver Women Printed Navy Blue Top,21127.jpg
1217,48916,Women,Accessories,Jewellery,Pendant,Silver,Summer,2013,Casual,Lucera Women Silver Pendant,48916.jpg
